Country Name,Country Code,2022 [YR2022] - GDP (current US$) [NY.GDP.MKTP.CD],"2022 [YR2022] - Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",2022 [YR2022] - Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],2022 [YR2022] - Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"2022 [YR2022] - Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2022 [YR2022] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2022 [YR2022] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Middle East & North Africa,MEA,4497116837259.17,19.3,..,..,15.6127413713078,73.2112632494725,2.59525129374036,7670.04060390167
Middle East & North Africa (excluding high income),MNA,1760103359907.54,20.8910521247348,29.6455508787855,30.0827571395223,16.6559322421753,72.2970508645214,2.6374364944637,4083.70498659547
Middle East & North Africa (IDA & IBRD countries),TMN,1740947356984.75,21.0036515637814,29.7832236861435,29.7103684042994,22.8860752407762,72.2832541162233,2.62800279439362,4095.5396749962
Middle income,MIC,35907869702102.2,34.8168970179169,25.8800008211282,25.225809694576,8.24119195323605,71.2879043700612,2.15788985633177,5695.15751125511
North America,NAC,27913419349422,6.1,13.3647235999448,16.8264765716721,7.04102594330236,77.8387536959044,1.63034850690789,61794.6930115336
Not classified,INX,..,..,..,..,..,..,..,..
OECD members,OED,60170092967268.4,6.46898924389421,30.6410119891321,31.6776382558477,6.46241986242271,79.6307987453617,1.55840285547189,39203.9118458066
Other small states,OSS,223331355321.864,28.9430746460862,83.6615208748107,80.6316039086223,7.69906735801398,72.870262555981,2.08100074576214,13316.4943923044
Pacific island small states,PSS,10316299126.576,23.012201998296,34.0327201668312,65.7301721635678,5.54755647980927,69.734834839395,3.20905087723029,3681.7613701716
Post-demographic dividend,PST,56564201304341.6,4.70124003777361,31.194871982846,32.186150813293,5.9539688866334,80.1676151914022,1.46367743894977,45048.779838362
Pre-demographic dividend,PRE,1639586866408.66,73.9472825890496,26.0507047988721,24.9624656042053,8.33090398854289,60.5030211720339,4.76677039093908,1452.12334893087
Small states,SST,281850778773.269,26.2338435163016,75.1058182104891,75.0899748936357,5.8108283164358,72.1645255241764,2.21094295967042,12203.9810091802
South Asia,SAS,4327288984027.91,35.9,20.7508038609766,26.1701289041944,7.49435251821833,68.1609330214255,2.21656012619064,1993.21703890837
South Asia (IDA & IBRD),TSA,4327288984027.91,35.9074361369531,20.7508038609766,26.1701289041944,7.49435251821833,68.1609330214255,2.21656012619064,1993.21703890837
Sub-Saharan Africa,SSF,2061102939319.23,70.7,26.890649154617,27.3820460144104,8.48659075537807,60.7643999775278,4.529261270617,1597.72529646842
Sub-Saharan Africa (excluding high income),SSA,2059044970799.4,70.6857636855527,26.8180148377701,27.307685697762,8.64227752221325,60.7631048177053,4.52947083509454,1596.28099809112
Sub-Saharan Africa (IDA & IBRD countries),TSS,2061102939319.23,70.6835799172069,26.890649154617,27.3820460144104,8.48659075537807,60.7643999775278,4.529261270617,1597.72529646842
Upper middle income,UMC,28567593041349.3,13,25.562761129777,23.381968156936,8.54051835184764,75.6956921126255,1.5901463559649,9418.22581569726
World,WLD,101225059591363,37.1,31.0209423965143,30.3822427006143,7.33243424934894,71.9963523835841,2.26127886004667,11364.9650598348
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,
